Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
SRR7821949_1	38.2669	0.945019	4180355133.0	58668074.0	0.49662	98.90203505161382	1.0744110946540575
SRR7821950_1	34.9287	0.941517	3118624155.0	43915486.0	0.501042	98.78198204196507	0.7130803756800395
SRR7821951_1	28.8875	0.943466	4634502737.0	65146926.0	0.50027	98.8026315286597	0.9653965483237884
SRR7821952_1	26.1115	0.944656	3230426222.0	45349504.0	0.495225	98.78978467163986	0.9160429263409646
SRR7821953_1	31.5576	0.94686	2990149734.0	41888714.0	0.495792	99.05163366199906	1.179301588166369
SRR7821954_1	61.0885	0.947682	3743729485.0	52394516.0	0.515033	99.16736122630324	1.3748722518775445
SRR7821955_1	72.72030000000001	0.94419	4816045500.0	67594008.0	0.517034	98.80918240871071	0.4444994732389758
SRR7821956_1	73.37559999999999	0.945612	4419308882.0	62018618.0	0.515125	99.25727909601844	2.0362663643322656
SRR7821957_1	61.0893	0.946569	3875913092.0	54344388.0	0.51578	99.0562672181581	1.6432461438799142
SRR7821968_1	67.9276	0.955272	4411184257.0	61206816.0	0.491952	99.4428538428547	0.8754383324913585
SRR7821969_1	56.717099999999995	0.943045	2652986222.0	37284036.0	0.531902	98.92368460599947	0.39337542016788885
SRR7821970_1	67.7727	0.956055	3650905070.0	50610262.0	0.502398	99.41330152124154	0.7893387063774099
SRR7821971_1	68.70739999999999	0.945301	3575845377.0	50132028.0	0.517334	98.99987511472501	0.40868528507848456
SRR7821972_1	56.0323	0.95711	3393395072.0	47031234.0	0.496501	99.47236824021776	1.5042331647275455
SRR7821973_1	58.9445	0.951901	3362749772.0	46821208.0	0.508727	99.48666460502412	0.5116015414128161
