"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025911",52.4087323738509,2.5181854683373,0.748724689950488,3.36329962419674,0.000770167239809231,0.00320311580141419
"ENSMUSG00000101567",19.0643413037571,2.15319968878531,0.7193430297815,2.9932863733167,0.00275990647176169,0.00986504428157115
"ENSMUSG00000026482",1016.05190397371,1.91498350406475,0.155470853349352,12.3173151932322,7.30871952614098e-35,5.90496611682512e-33
"ENSMUSG00000080950",6.73287163069026,-2.87553069925684,1.06563102633837,-2.69842997077282,0.006966739391468,0.0219841710954737
"ENSMUSG00000032883",150.641367099172,-1.10506459643397,0.276706686841877,-3.99363170094063,6.50689093097239e-05,0.000353567378877666
"ENSMUSG00000026494",9.72832966491901,-3.89184367156953,1.53933259410599,-2.52826691676066,0.0114627169680487,0.0337432053883285
"ENSMUSG00000079470",106.162896687821,-1.59214248833632,0.284326934338998,-5.5996892873963,2.14736343231978e-08,2.28674717801314e-07
"ENSMUSG00000055067",211.114421918948,-1.22429844292196,0.215185689121065,-5.68949751223077,1.27413745931545e-08,1.40041459734395e-07
"ENSMUSG00000038949",3679.28812202999,-1.07978153974081,0.282693168926218,-3.81962374203186,0.000133655396327425,0.000673662564184987
"ENSMUSG00000026043",411.636941167643,-2.36587494446416,0.736165247222976,-3.21378244000095,0.00130998889877411,0.00513125837602793
"ENSMUSG00000046101",46.9559775955723,-1.40799390514055,0.497851200183497,-2.8281420324418,0.00468190293328526,0.0155940059721665
"ENSMUSG00000073643",1016.54165897964,-1.29433087722192,0.18171464999163,-7.12287576858299,1.05698085844918e-12,1.95688372005294e-11
"ENSMUSG00000026249",857.144952506094,-2.34959930966741,0.29102469041806,-8.07353941788302,6.82891170259627e-16,1.72416026819034e-14
"ENSMUSG00000042684",75.1820758037549,-1.18800593954244,0.435121187809577,-2.73028749880677,0.00632791141155444,0.0202535904667521
"ENSMUSG00000099858",100.553054890696,-1.79954139378064,0.483937806547025,-3.71853855895381,0.000200378708915686,0.000966099030542034
"ENSMUSG00000042671",24.0635538266965,-3.98594519181975,0.596799623720198,-6.67886679782579,2.40796896193235e-11,3.79879456849788e-10
"ENSMUSG00000066800",4696.58862513971,-1.43785537800841,0.180614037088641,-7.96092818246872,1.70753479866236e-15,4.1537090334292e-14
"ENSMUSG00000102721",6.50504415402786,3.54687822348447,1.2123616248132,2.92559427062941,0.00343798994443976,0.0119575085689322
"ENSMUSG00000026107",2439.66239488992,1.56531969928362,0.393786528201388,3.97504634410218,7.03655526034043e-05,0.000380168372561519
"ENSMUSG00000026490",373.777410980712,-1.67329011480165,0.319047777459686,-5.24463805428977,1.5658942009988e-07,1.45063025943656e-06
"ENSMUSG00000033684",6731.30905563584,-1.86228500596059,0.264576887439047,-7.03872898342121,1.94001284750461e-12,3.47425847298027e-11
"ENSMUSG00000102299",16.34511227098,-2.36011566061299,0.799121667268371,-2.95338714651619,0.0031430750768727,0.0110518915588323
"ENSMUSG00000026489",576.836047008588,-2.85367666318452,0.289008636433565,-9.87401863971807,5.39585245746142e-23,2.35335568596043e-21
"ENSMUSG00000025938",40.3799220748278,-1.48375976755562,0.587298557112574,-2.5264148014435,0.0115233334713616,0.0338892449458518
"ENSMUSG00000010609",1639.81594696475,1.4501493585678,0.14897050925639,9.73447272085231,2.14929435192731e-22,8.96157553641162e-21
"ENSMUSG00000103123",4.50886154538688,4.75155815340253,1.83164900604284,2.59414229348884,0.00948272317550924,0.0286153887449055
"ENSMUSG00000053963",20.4288766763914,-2.59231892859501,0.499962319681314,-5.18502860425042,2.15981713815978e-07,1.9631949066224e-06
"ENSMUSG00000045658",1363.0599584157,3.29117389304749,0.299284112041935,10.9968212832706,3.95840412649659e-28,2.24753443514122e-26
"ENSMUSG00000015484",10.993997585074,-4.02800329158933,1.70313235921713,-2.36505593343366,0.0180273480450701,0.0495074011508544
"ENSMUSG00000073633",52.9052647529781,-1.67498206035696,0.497969496103782,-3.36362382327105,0.00076926319010452,0.00320043618614817
"ENSMUSG00000026220",22.586644116652,-2.49126983003869,0.73674954010866,-3.38143384476529,0.00072108593788435,0.00302348131382442
"ENSMUSG00000026104",2258.66391297425,3.59308394446487,0.186346789504489,19.2817056522367,7.65115259109534e-83,3.4279945845413e-80
"ENSMUSG00000060743",22143.7905761811,-1.50242842046723,0.218629934356083,-6.87201606171742,6.33008252162049e-12,1.07428301307006e-10
"ENSMUSG00000052477",552.30719857084,1.99293721921023,0.329123804891305,6.05528129412701,1.40172500874545e-09,1.75693324849977e-08
"ENSMUSG00000101279",84.4279938685763,1.04253411927039,0.237241389235864,4.3944023537727,1.11077917665588e-05,7.1804355905441e-05
"ENSMUSG00000089844",108.720776987006,1.78274991982301,0.329132462361553,5.41651196309118,6.07729262513052e-08,6.05566699832052e-07
"ENSMUSG00000038793",21.1036196372821,-2.1706378193608,0.870168409107945,-2.49450312909662,0.0126133614369414,0.0365943531385903
"ENSMUSG00000038776",1014.50777043975,-2.06859856845019,0.154446493330175,-13.3936259985388,6.58840314385211e-41,7.28033319600016e-39
"ENSMUSG00000038733",23843.7202952652,-1.6482360376798,0.211845536612984,-7.78036707325548,7.23144140195606e-15,1.65764817699536e-13
"ENSMUSG00000081214",66.7088130513525,-1.350148681771,0.522996697403833,-2.58156253848861,0.0098354169557991,0.0295242227585335
"ENSMUSG00000041439",1530.27542007811,-1.2882358847452,0.166964006108455,-7.71565030554186,1.20366916543288e-14,2.70875028078513e-13
"ENSMUSG00000026094",7092.7150463624,-1.25836963469436,0.138371340935306,-9.0941493100272,9.53298051005096e-20,3.32736127094442e-18
"ENSMUSG00000026344",29.7029324611065,-2.10232820883011,0.882512360377451,-2.38220823097701,0.0172091632408915,0.0476374073895809
"ENSMUSG00000101589",18.7244163009252,1.33710869408885,0.551885060330859,2.42280284464892,0.0154012826403007,0.0433487614874118
"ENSMUSG00000042807",27.8329819824223,-2.50972467698673,0.921932325433684,-2.72224393022138,0.00648402622692712,0.020670035483045
"ENSMUSG00000073678",1177.20473409938,1.2286046138747,0.247479969775742,4.96446082076064,6.88921912929866e-07,5.66990999927138e-06
"ENSMUSG00000100204",5.12948660812019,4.01568670539586,1.39834553741984,2.87174135286006,0.00408216927808168,0.0138691321315992
"ENSMUSG00000026348",1030.13945048454,-8.56465301036009,0.58841376888729,-14.5554938773036,5.38952898340703e-48,8.14777749749177e-46
"ENSMUSG00000051590",100.123986547019,-1.64030183823437,0.683149968429497,-2.4010860192313,0.0163464934136356,0.0455719301616482
"ENSMUSG00000041859",1698.13369280086,1.20448384059893,0.256044806358521,4.7041916519579,2.5487374563962e-06,1.8792934889442e-05
"ENSMUSG00000025931",88.6119116719402,-1.33781581589579,0.271516917668152,-4.92719137866345,8.3420038652691e-07,6.75973887694709e-06
"ENSMUSG00000025933",85.017325716869,-1.17899881699201,0.48143149295503,-2.44894410574453,0.0143275679930404,0.0407502228167707
"ENSMUSG00000073676",913.010208867424,1.2897477090183,0.254934367296011,5.05913628946207,4.21159774707471e-07,3.614844712066e-06
"ENSMUSG00000025934",78.1917743521673,-2.15596612677321,0.656935397368176,-3.28185409921656,0.00103126950259883,0.00415169793874208
"ENSMUSG00000036086",416.064314783964,-1.27820591705766,0.352505683508839,-3.62605761227564,0.000287781175269158,0.00133198792655571
"ENSMUSG00000026589",114.237923110148,-4.18447171136739,0.472423318372372,-8.85746225606315,8.18565149209469e-19,2.69594796569052e-17
"ENSMUSG00000026355",2221.04797775073,1.06041230483346,0.246743649474173,4.29762754621355,1.7263592551755e-05,0.000107426628197057
"ENSMUSG00000045382",2777.91448852524,-1.29338220614488,0.179622158424014,-7.20057156362487,5.99606769233129e-13,1.13657769288021e-11
"ENSMUSG00000039377",507.89389991413,-1.39227552024841,0.150706252314912,-9.23833947737709,2.50352112685648e-20,9.08568006008797e-19
"ENSMUSG00000026255",7.85517185001692,-3.4818939621848,1.21090843362427,-2.87543951755578,0.00403465435956421,0.0137285215035047
"ENSMUSG00000026156",160.98614951958,-3.47700716277034,0.898620279872816,-3.86927297396677,0.000109160372139751,0.000562511478516883
"ENSMUSG00000039349",104.30648281453,-2.06459453786549,0.536750972680678,-3.84646631855057,0.000119833595109658,0.00061238893626964
"ENSMUSG00000026155",12858.3877510244,-3.20110479379948,0.222033714394193,-14.4172014711078,4.03369308848786e-47,5.84695676979517e-45
"ENSMUSG00000026154",79.4327563522836,1.27749463841735,0.362390133530186,3.52519155522467,0.00042317666753223,0.00187856592349653
"ENSMUSG00000063558",99.2724375346917,-2.64494347967584,0.551284397959425,-4.79778402847257,1.60430624336382e-06,1.2288876110964e-05
"ENSMUSG00000064294",107.78256460606,-3.90630626473378,0.580722060573864,-6.72663659595367,1.73629652146858e-11,2.79280802102016e-10
"ENSMUSG00000026721",4038.60953231981,-1.2209041011831,0.183394378736715,-6.65726021480658,2.78979019398636e-11,4.3592904223343e-10
"ENSMUSG00000039239",387.044500010058,-2.95245911694333,1.02146011001513,-2.8904301675565,0.00384714994247007,0.0131705291584256
"ENSMUSG00000026715",30.7717938756139,-1.27568379616411,0.436790511627961,-2.92058495366465,0.00349374928530948,0.0121240627923667
"ENSMUSG00000026430",7479.30462726406,-1.21717114024886,0.156361446106296,-7.78434307534747,7.00763624448596e-15,1.61234521322711e-13
"ENSMUSG00000042349",5645.26428546222,2.26775703235931,0.256700078476756,8.83426700068054,1.00756734783136e-18,3.27552435161745e-17
"ENSMUSG00000026028",7204.54170830258,-1.99619863611533,0.238913645686455,-8.35531445003815,6.5258637855887e-17,1.80889016203011e-15
"ENSMUSG00000026425",2337.84629918305,1.25619606159445,0.148810349560572,8.4415906911308,3.13047894152843e-17,8.83634158959263e-16
"ENSMUSG00000101778",2.77299276836092,4.95494349512058,1.86895550948669,2.6511832250525,0.00802103151089028,0.0248590439556481
"ENSMUSG00000055184",48.6759084973581,2.52096353308569,0.586169457966113,4.30074187391631,1.7022725533866e-05,0.000106061694716947
"ENSMUSG00000004552",8091.54203358464,-4.60960101128706,0.289806861440805,-15.9057690641621,5.77892660188989e-57,1.18670257769809e-54
"ENSMUSG00000026605",583.00085713825,1.3402468520606,0.41325679237294,3.24313326918316,0.00118222898116078,0.00467691227384235
"ENSMUSG00000026027",4192.23180211075,-2.04115600191184,0.273976597627662,-7.45011077437279,9.32618914389339e-14,1.91833015762789e-12
"ENSMUSG00000052688",734.6374599867,2.26003795089915,0.176031438795663,12.8388313267302,9.93630981895901e-38,9.3099067132619e-36
"ENSMUSG00000026604",303.982784397982,-2.02446041957516,0.367698265937955,-5.50576547977728,3.67567582175223e-08,3.77872355442714e-07
"ENSMUSG00000038079",104.968758306421,1.32076060049348,0.29539150313186,4.47122069013577,7.77743883848378e-06,5.19521951363289e-05
"ENSMUSG00000062510",139.463502875987,1.51499110920335,0.431334932386749,3.51233112704388,0.000444194194026515,0.00195986272680419
"ENSMUSG00000026628",542.686037856367,4.04854364244781,0.376807654542683,10.7443243088078,6.30216772047568e-27,3.3760438471296e-25
"ENSMUSG00000026024",413.658942902618,1.75577868807304,0.37392074874557,4.69559042648296,2.65837731829731e-06,1.95545474261141e-05
"ENSMUSG00000026627",226.858475248758,1.0643852237882,0.219657436126042,4.84565987184445,1.26191546737975e-06,9.8530167766704e-06
"ENSMUSG00000026622",383.115572866099,1.15340760537069,0.315432818223753,3.65658719934625,0.000255595489806711,0.00119582002274862
"ENSMUSG00000036206",226.8714570956,1.969753422715,0.282699771834749,6.96765126455924,3.22275870552428e-12,5.65635470238814e-11
"ENSMUSG00000037375",60.1320287561384,1.03377384897104,0.375386273070461,2.75389358410822,0.00588909130778706,0.0190442913887422
"ENSMUSG00000055013",315.044506999993,-1.22144313845235,0.263263941438659,-4.63961426611454,3.49060091620043e-06,2.50262984512689e-05
"ENSMUSG00000016262",13.6065571078013,2.63595902249911,0.961598864621773,2.74122518180792,0.00612105417954737,0.0196989704965922
"ENSMUSG00000016200",250.630404862865,-6.23204674315296,0.498072100292091,-12.5123385539929,6.39144415972092e-36,5.50692192251199e-34
"ENSMUSG00000044337",108.979972221922,-2.18316776912736,0.622652938681164,-3.50623538973656,0.000454493089725732,0.00199957484681691
"ENSMUSG00000081562",6.59978405248082,-3.63203829603375,1.28102966837684,-2.83524916377292,0.00457899575396505,0.0153018190085716
"ENSMUSG00000026447",1041.0748422736,-1.25811112112296,0.383479878996044,-3.2807747942779,0.00103522366742502,0.00416557505105935
"ENSMUSG00000081382",100.098668136168,-1.03596428772606,0.413468859413436,-2.50554368035292,0.0122263295630842,0.0356377115085782
"ENSMUSG00000052062",430.887546504078,-1.51724740555944,0.327732788467823,-4.6295258178246,3.66504030659299e-06,2.61779487637868e-05
"ENSMUSG00000100750",10.1920043381415,-2.81630513772466,0.819479029827749,-3.43670189866436,0.000588843301956831,0.00252002025821817
"ENSMUSG00000037509",258.886052926391,-2.42943409771506,0.346735192043988,-7.0065979844551,2.44182573914697e-12,4.31955993281117e-11
"ENSMUSG00000041757",215.749891337235,-1.9110747341392,0.359414002082712,-5.3171961110725,1.05378473980024e-07,1.00648695961851e-06
"ENSMUSG00000026123",1706.8846276994,1.28842554581153,0.124078871017755,10.383923832021,2.93460145158563e-25,1.4263204925044e-23
"ENSMUSG00000009633",460.526340377731,-2.07059161030428,0.287964634614162,-7.19043716280866,6.45841958418428e-13,1.22139965766285e-11
"ENSMUSG00000026579",23965.530257993,-2.51351045532557,0.308574945336663,-8.14554290071497,3.77583940449762e-16,9.78383118881497e-15
"ENSMUSG00000016494",344.972189304275,-1.97435125714408,0.471939405798076,-4.18348464418932,2.87074489352281e-05,0.000170050229966801
"ENSMUSG00000034353",289.155812588209,-1.87101720016973,0.277259619016224,-6.74824991395608,1.49639045432401e-11,2.4211459997014e-10
"ENSMUSG00000026575",171.541858127784,1.15539632418986,0.247012053171148,4.67748965832576,2.90408215471113e-06,2.11848408692693e-05
"ENSMUSG00000016493",225.37277884331,-2.25817448203191,0.293304170849238,-7.69908752232726,1.37041285377169e-14,3.06162407458223e-13
